[ 2012-08-21T13:58:44+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-21T13:58:44+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.024391s ]
[ 2012-08-21T13:58:44+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.030927s ]
[ 2012-08-21T13:58:44+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Tag[ view_template ] --START--
[ 2012-08-21T13:58:44+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Run LocationTemplate Behavior [ RunTime:0.024601s ]
[ 2012-08-21T13:58:44+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.024812s ]
[ 2012-08-21T13:58:44+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Tag[ view_parse ] --START--
[ 2012-08-21T13:58:44+08:00 ] /dwz_thinkphp3/Admin/ | NOTIC: [8] Undefined variable: menu f12c0a77906a0f355c95666536d66c0f.php 第 93 行.
[ 2012-08-21T13:58:44+08:00 ] /dwz_thinkphp3/Admin/ | NOTIC: [8] Undefined index: loginUserName f12c0a77906a0f355c95666536d66c0f.php 第 163 行.
[ 2012-08-21T13:58:44+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Run ParseTemplate Behavior [ RunTime:0.144276s ]
[ 2012-08-21T13:58:44+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.144458s ]
[ 2012-08-21T13:58:44+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Tag[ view_filter ] --START--
[ 2012-08-21T13:58:44+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Run ContentReplace Behavior [ RunTime:0.020882s ]
[ 2012-08-21T13:58:44+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Run TokenBuild Behavior [ RunTime:0.018326s ]
[ 2012-08-21T13:58:44+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.016459s ]
[ 2012-08-21T13:58:44+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001357s ]
[ 2012-08-21T13:58:44+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.057574s ]
[ 2012-08-21T13:58:44+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Tag[ view_end ] --START--
[ 2012-08-21T13:58:44+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.020795s ]
[ 2012-08-21T13:58:44+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.020970s ]
[ 2012-08-21T14:30:05+08:00 ] /dwz_thinkphp3/Admin/public/login | ERR: (ThinkException) 无法加载模块public
[ 2012-08-21T14:30:13+08:00 ] /dwz_thinkphp3/Admin/Public/login | INFO: Tag[ route_check ] --START--
[ 2012-08-21T14:30:13+08:00 ] /dwz_thinkphp3/Admin/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.000776s ]
[ 2012-08-21T14:30:13+08:00 ] /dwz_thinkphp3/Admin/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000966s ]
[ 2012-08-21T14:30:13+08:00 ] /dwz_thinkphp3/Admin/Public/login | INFO: Tag[ app_begin ] --START--
[ 2012-08-21T14:30:13+08:00 ] /dwz_thinkphp3/Admin/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000684s ]
[ 2012-08-21T14:30:13+08:00 ] /dwz_thinkphp3/Admin/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000855s ]
[ 2012-08-21T14:30:13+08:00 ] /dwz_thinkphp3/Admin/Public/login | INFO: Tag[ view_template ] --START--
[ 2012-08-21T14:30:13+08:00 ] /dwz_thinkphp3/Admin/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.014989s ]
[ 2012-08-21T14:30:13+08:00 ] /dwz_thinkphp3/Admin/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.015189s ]
[ 2012-08-21T14:30:13+08:00 ] /dwz_thinkphp3/Admin/Public/login | INFO: Tag[ view_parse ] --START--
[ 2012-08-21T14:30:13+08:00 ] /dwz_thinkphp3/Admin/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.153705s ]
[ 2012-08-21T14:30:13+08:00 ] /dwz_thinkphp3/Admin/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.153889s ]
[ 2012-08-21T14:30:13+08:00 ] /dwz_thinkphp3/Admin/Public/login | INFO: Tag[ view_filter ] --START--
