[ 2012-08-23T09:51:51+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Tag[ route_check ] --START--
[ 2012-08-23T09:51:51+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.016799s ]
[ 2012-08-23T09:51:51+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.016988s ]
[ 2012-08-23T09:51:51+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Tag[ app_begin ] --START--
[ 2012-08-23T09:51:51+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000727s ]
[ 2012-08-23T09:51:51+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000895s ]
[ 2012-08-23T09:51:51+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Tag[ view_template ] --START--
[ 2012-08-23T09:51:51+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.027535s ]
[ 2012-08-23T09:51:51+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.027723s ]
[ 2012-08-23T09:51:51+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Tag[ view_parse ] --START--
[ 2012-08-23T09:51:51+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.066733s ]
[ 2012-08-23T09:51:51+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.066927s ]
[ 2012-08-23T09:51:51+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Tag[ view_filter ] --START--
[ 2012-08-23T09:51:51+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.005965s ]
[ 2012-08-23T09:51:51+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.010170s ]
[ 2012-08-23T09:51:51+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.008023s ]
[ 2012-08-23T09:51:51+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.001497s ]
[ 2012-08-23T09:51:51+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.026187s ]
[ 2012-08-23T09:51:51+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Tag[ view_end ] --START--
[ 2012-08-23T09:51:51+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.009875s ]
[ 2012-08-23T09:51:51+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.010088s ]
[ 2012-08-23T09:51:52+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/verify/ | INFO: Tag[ route_check ] --START--
[ 2012-08-23T09:51:52+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.000886s ]
[ 2012-08-23T09:51:52+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001071s ]
[ 2012-08-23T09:51:52+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/verify/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-23T09:51:52+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000824s ]
[ 2012-08-23T09:51:52+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000999s ]
[ 2012-08-23T09:51:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Tag[ route_check ] --START--
[ 2012-08-23T09:51:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Run CheckRoute Behavior [ RunTime:0.000769s ]
[ 2012-08-23T09:51:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.000968s ]
[ 2012-08-23T09:51:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-23T09:51:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000687s ]
[ 2012-08-23T09:51:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000859s ]
[ 2012-08-23T09:51:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.054256s ]
[ 2012-08-23T09:51:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | SQL: SELECT * FROM `user` WHERE ( `account` = 'admin' ) AND ( `status` > 0 ) LIMIT 1   [ RunTime:0.004192s ]
[ 2012-08-23T09:51:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | SQL: UPDATE `user` SET `last_login_time`=1345686716,`login_count`=login_count+1,`last_login_ip`='127.0.0.1' WHERE ( `id` = '1' ) [ RunTime:0.002744s ]
[ 2012-08-23T09:51:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Tag[ view_template ] --START--
[ 2012-08-23T09:51:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000695s ]
[ 2012-08-23T09:51:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000869s ]
[ 2012-08-23T09:51:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Tag[ view_parse ] --START--
[ 2012-08-23T09:51:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Run ParseTemplate Behavior [ RunTime:0.025691s ]
[ 2012-08-23T09:51:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.025881s ]
[ 2012-08-23T09:51:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Tag[ view_filter ] --START--
[ 2012-08-23T09:51:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Run ContentReplace Behavior [ RunTime:0.000561s ]
[ 2012-08-23T09:51:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Run TokenBuild Behavior [ RunTime:0.000682s ]
[ 2012-08-23T09:51:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000400s ]
[ 2012-08-23T09:51:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001194s ]
[ 2012-08-23T09:51:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003306s ]
[ 2012-08-23T09:51:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Tag[ view_end ] --START--
[ 2012-08-23T09:51:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001575s ]
[ 2012-08-23T09:51:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001773s ]
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000770s ]
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000958s ]
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000713s ]
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000884s ]
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | SQL: SHOW COLUMNS FROM `node` [ RunTime:0.056178s ]
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | SQL: SELECT `id` FROM `node` LIMIT 1   [ RunTime:0.000250s ]
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | SQL: SELECT `id`,`name`,`group_id`,`title` FROM `node` WHERE ( `level` = 2 ) AND ( `status` = 1 ) AND ( `pid` = '1' ) ORDER BY sort asc  [ RunTime:0.056277s ]
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST IndexAction.class.php 第 17 行.
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.030835s ]
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.031028s ]
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.070661s ]
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.070855s ]
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000606s ]
